Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),
MARA,Marathon,Digital,"Holdings,",Inc.,21.59,-4.04,-15.76%,119.177M,60.556M,4.78B,N/A
TSLA,"Tesla,",Inc.,226.14,-7.80,-3.33%,54.399M,117.898M,718.951B,72.72
SWN,Southwestern,Energy,Company,6.95,+0.06,+0.80%,47.848M,20.713M,7.65B,1.51
RIOT,Riot,"Platforms,",Inc.,13.24,-2.31,-14.86%,40.183M,28.9M,2.726B,N/A
LTHM,Arcadium,Lithium,plc,16.51,-1.54,-8.53%,39.179M,10.374M,2.97B,9.17
LCID,Lucid,"Group,",Inc.,3.1800,-0.2300,-6.7449%,30.329M,32.957M,7.269B,N/A
NIO,NIO,Inc.,7.37,-0.04,-0.54%,29.632M,52.795M,15.476B,N/A
AMD,Advanced,Micro,"Devices,",Inc.,144.65,-3.89,-2.62%,28.956M,58.067M,233.714B,"1,446.70"
NVDA,NVIDIA,Corporation,538.54,-4.96,-0.91%,26.364M,43.298M,1.331T,71.38
AMZN,"Amazon.com,",Inc.,154.19,+0.46,+0.30%,22.451M,51.009M,1.594T,80.76
PLUG,Plug,Power,Inc.,3.7150,-0.3250,-8.0446%,21.502M,35.58M,2.251B,N/A
PLTR,Palantir,Technologies,Inc.,16.30,-0.49,-2.92%,21.331M,58.931M,35.403B,232.43
COIN,Coinbase,"Global,",Inc.,141.03,-10.26,-6.78%,20.746M,12.293M,33.573B,N/A
SOFI,SoFi,"Technologies,",Inc.,8.07,-0.40,-4.78%,20.496M,42.111M,7.737B,N/A
F,Ford,Motor,Company,11.63,-0.20,-1.69%,19.553M,54.342M,46.574B,7.60
PFE,Pfizer,Inc.,28.34,-0.65,-2.22%,19.106M,41.16M,160.189B,15.50
AAPL,Apple,Inc.,184.14,-2.05,-1.10%,19.169M,54.271M,2.864T,30.09
BAC,Bank,of,America,Corporation,32.93,-0.67,-1.99%,17.270M,46.135M,260.56B,9.22
DNA,Ginkgo,Bioworks,"Holdings,",Inc.,1.3199,-0.0901,-6.3901%,15.848M,19.945M,2.786B,N/A
NU,Nu,Holdings,Ltd.,8.89,-0.19,-2.15%,14.592M,26.031M,42.2B,126.79
BCS,Barclays,PLC,7.48,-0.45,-5.67%,13.215M,14.717M,28.339B,4.35
MSFT,Microsoft,Corporation,380.88,-1.89,-0.49%,12.738M,26.145M,2.831T,36.98
T,AT&T,Inc.,16.60,-0.27,-1.60%,12.177M,37.422M,118.762B,N/A
OPEN,Opendoor,Technologies,Inc.,3.3950,-0.2850,-7.7446%,11.987M,20.181M,2.271B,N/A
