Symbol,Name,,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),,,
KMI,Kinder,"Morgan,",Inc.,18.05,-0.06,-0.33%,15.381M,13.59M,40.121B,16.56,,
TEVA,Teva,Pharmaceutical,Industries,Limited,11.4,-0.07,-0.61%,12.587M,8.3M,12.779B,N/A,
ERIC,Telefonaktiebolaget,LM,Ericsson,(publ),6.11,-0.05,-0.81%,12.465M,12.097M,20.346B,N/A,
PACB,Pacific,Biosciences,of,"California,",Inc.,7.68,0.02,0.26%,12.879M,5.502M,2.054B,N/A
PBR,Petróleo,Brasileiro,S.A.,-,Petrobras,15.99,-0.29,-1.78%,12.184M,16.921M,103.698B,3.87
RXRX,Recursion,"Pharmaceuticals,",Inc.,13.4,0.79,6.26%,12.131M,4.544M,2.893B,N/A,,
C,Citigroup,Inc.,53.48,-0.53,-0.98%,17.152M,18.912M,102.354B,8.49,,,
LYFT,"Lyft,",Inc.,13.49,-0.06,-0.44%,11.909M,15.65M,5.301B,N/A,,,
JD,"JD.com,",Inc.,25.32,-0.64,-2.47%,11.83M,13.782M,39.841B,11.94,,,
META,Meta,"Platforms,",Inc.,357.43,-1.23,-0.34%,13.336M,18.288M,918.545B,31.55,,
CYTK,"Cytokinetics,",Incorporated,101.97,-6.09,-5.64%,11.764M,2.873M,9.999B,N/A,,,
DKNG,DraftKings,Inc.,34.24,0.63,1.87%,11.643M,12.771M,15.964B,N/A,,,
RF,Regions,Financial,Corporation,19.12,-0.39,-2.00%,11.562M,9.382M,17.783B,7.93,,
GM,General,Motors,Company,36.54,-0.16,-0.44%,11.614M,20.288M,50.041B,5.13,,
IOVA,Iovance,"Biotherapeutics,",Inc.,9.91,0.35,3.66%,11.416M,7.558M,2.536B,N/A,,
NOK,Nokia,Oyj,3.48,-0.06,-1.69%,11.149M,17.409M,19.269B,4.58,,,
BMY,Bristol-Myers,Squibb,Company,51.28,-0.51,-0.98%,13.304M,14.836M,104.342B,13.02,,
SIRI,Sirius,XM,Holdings,Inc.,5.4,-0.08,-1.46%,11.092M,12.587M,20.743B,16.88,
IMGN,"ImmunoGen,",Inc.,29.89,0.04,0.13%,11.079M,8.127M,8.35B,N/A,,,
RIG,Transocean,Ltd.,5.83,-0.12,-2.02%,11.143M,15.182M,4.717B,N/A,,,
HBAN,Huntington,Bancshares,Incorporated,12.9,-0.19,-1.45%,11.039M,16.107M,18.68B,8.54,,
COIN,Coinbase,"Global,",Inc.,151.99,-7.43,-4.66%,11.776M,11.994M,36.363B,N/A,,
ET,Energy,Transfer,LP,14,0.02,0.14%,10.895M,14.089M,47.077B,13.21,,
DAL,Delta,Air,"Lines,",Inc.,42.32,0.69,1.66%,11.867M,10.118M,27.231B,7.98,
NCLH,Norwegian,Cruise,Line,Holdings,Ltd.,17.38,-0.38,-2.14%,10.655M,15.168M,7.394B,N/A
WFC,Wells,Fargo,&,Company,49.29,-0.63,-1.26%,10.686M,16.916M,179.004B,10.76,
PARA,Paramount,Global,14.23,-0.46,-3.13%,10.56M,15.525M,9.47B,N/A,,,
KGC,Kinross,Gold,Corporation,5.6,-0.09,-1.58%,10.54M,13.684M,6.875B,29.47,,
CMCSA,Comcast,Corporation,43.28,-0.45,-1.03%,14.827M,18.772M,174.205B,12.06,,,
WMB,The,Williams,"Companies,",Inc.,35.42,-0.23,-0.65%,10.446M,6.423M,43.088B,15.54,
MRVL,Marvell,"Technology,",Inc.,63.47,-0.64,-1.00%,10.375M,9.531M,54.87B,N/A,,
CVX,Chevron,Corporation,145.7,-3.8,-2.54%,10.36M,10.857M,275.045B,10.82,,,
SHOP,Shopify,Inc.,80.11,2.42,3.11%,10.338M,11.322M,102.882B,N/A,,,
PCG,PG&E,Corporation,18.06,0.01,0.06%,10.14M,17.723M,45.936B,21,,,
PINS,"Pinterest,",Inc.,37.79,0.41,1.10%,9.963M,10.483M,25.484B,N/A,,,
GGB,Gerdau,S.A.,4.52,-0.3,-6.22%,9.863M,5.546M,7.908B,4.97,,,
JPM,JPMorgan,Chase,&,Co.,170.66,-1.36,-0.79%,9.725M,9.54M,493.38B,10.19,
DIS,The,Walt,Disney,Company,89.67,-1.88,-2.05%,11.042M,12.359M,164.125B,69.51,
NEM,Newmont,Corporation,38.68,-1.55,-3.85%,9.623M,15.35M,44.578B,N/A,,,
S,"SentinelOne,",Inc.,24.16,0.7,2.98%,9.631M,5.931M,7.216B,N/A,,,
AGNC,AGNC,Investment,Corp.,9.95,-0.01,-0.10%,9.532M,16.731M,6.678B,20.73,,
AVTR,"Avantor,",Inc.,22.06,0.4,1.85%,9.472M,8.199M,14.921B,40.85,,,
KDP,Keurig,Dr,Pepper,Inc.,31.98,0.17,0.53%,9.428M,8.265M,44.719B,23.34,
MU,Micron,"Technology,",Inc.,83.33,-1.62,-1.91%,12.116M,13.489M,91.989B,N/A,,
AFRM,Affirm,"Holdings,",Inc.,44.07,-1.27,-2.80%,10.249M,20.16M,13.297B,N/A,,
PATH,UiPath,Inc.,22.52,-0.58,-2.51%,9.285M,9.02M,12.748B,N/A,,,
CHWY,"Chewy,",Inc.,21.15,0.46,2.22%,9.165M,9.154M,9.124B,705,,,
BP,BP,p.l.c.,34.89,-0.54,-1.52%,9.459M,8.496M,101.517B,4.19,,,
RUN,Sunrun,Inc.,16.3,-0.34,-2.04%,9.449M,14.436M,3.551B,N/A,,,
AGL,agilon,"health,",inc.,8.44,-0.74,-8.06%,9.052M,3.921M,3.427B,N/A,,
MRK,Merck,&,"Co.,",Inc.,118.43,1.05,0.89%,8.821M,8.355M,300.104B,65.79,
FCX,Freeport-McMoRan,Inc.,41.7,-0.5,-1.18%,8.768M,11.262M,59.797B,27.8,,,
CTRA,Coterra,Energy,Inc.,25.75,0.2,0.78%,8.712M,6.539M,19.369B,8.91,,
UAL,United,Airlines,"Holdings,",Inc.,43.54,0.62,1.44%,9.326M,8.256M,14.282B,5.04,
TOST,"Toast,",Inc.,18.8,0.16,0.86%,8.495M,9.138M,10.156B,N/A,,,
UEC,Uranium,Energy,Corp.,6.76,0.31,4.81%,8.355M,7.231M,2.657B,676,,
FTNT,"Fortinet,",Inc.,59.4,-1.86,-3.04%,8.903M,7.245M,45.614B,41.25,,,
CAG,Conagra,"Brands,",Inc.,29.32,0.59,2.05%,8.157M,4.42M,14.015B,14.3,,
BTE,Baytex,Energy,Corp.,3.18,-0.04,-1.24%,8.151M,8.758M,2.699B,3.49,,
NXE,NexGen,Energy,Ltd.,7.05,0.42,6.33%,8.139M,5.104M,3.691B,N/A,,
XPEV,XPeng,Inc.,12.6,-0.1,-0.79%,8.065M,10.721M,11.887B,N/A,,,
FE,FirstEnergy,Corp.,38.52,0.14,0.36%,7.983M,3.502M,22.103B,40.55,,,
PG,The,Procter,&,Gamble,Company,149.3,0.61,0.41%,7.947M,6.806M,351.884B,24.24
CSX,CSX,Corporation,34.61,-0.08,-0.23%,7.855M,12.105M,68.394B,18.31,,,
GSAT,"Globalstar,",Inc.,1.98,-0.11,-5.26%,8.08M,4.781M,3.762B,N/A,,,
NKE,"NIKE,",Inc.,102.74,-0.88,-0.85%,7.751M,9.019M,155.663B,29.95,,,
CLF,Cleveland-Cliffs,Inc.,18.68,-0.6,-3.11%,7.651M,9.552M,9.431B,27.88,,,
MBLY,Mobileye,Global,Inc.,31.89,0.46,1.46%,7.606M,3.143M,25.708B,N/A,,
VTRS,Viatris,Inc.,11.6,-0.11,-0.94%,7.602M,8.768M,13.916B,7.68,,,
TGTX,TG,"Therapeutics,",Inc.,21.01,-0.29,-1.36%,7.562M,6.156M,3.181B,N/A,,
SQ,"Block,",Inc.,69.53,0.22,0.32%,7.539M,12.985M,42.698B,N/A,,,
MS,Morgan,Stanley,92.06,-1.45,-1.55%,7.53M,8.979M,151.099B,16.44,,,
DVN,Devon,Energy,Corporation,44.77,-0.76,-1.67%,7.518M,8.793M,28.684B,7.63,,
KO,The,Coca-Cola,Company,60,-0.11,-0.18%,7.521M,14.985M,259.405B,24.29,,
OXY,Occidental,Petroleum,Corporation,57.46,-0.81,-1.39%,7.506M,9.635M,50.426B,12.52,,
ES,Eversource,Energy,58,-4.87,-7.75%,7.426M,2.822M,20.261B,17.37,,,
CVE,Cenovus,Energy,Inc.,16.17,-0.14,-0.86%,7.426M,9.364M,30.446B,10.17,,
MO,Altria,"Group,",Inc.,41.86,-0.05,-0.12%,7.412M,9.17M,74.036B,8.54,,
BKR,Baker,Hughes,Company,31.62,-0.82,-2.53%,7.333M,6.8M,32.038B,18.93,,
